0,4,4,4,1,7,0,0,4,0,3,0,0,0,3,0,0,1,1
2,1,4,4,0,3,0,0,5,8,1,0,0,0,13,0,0,1,1
6,2,8,8,1,7,0,0,10,0,5,0,0,0,6,0,0,1,1
2,3,0,0,0,5,0,1,3,2,3,0,0,0,5,0,1,3,1
6,6,51,51,0,10,0,0,5,6,6,51,51,0,10,0,0,5,1
4,1,6,6,0,5,0,1,1,4,1,6,6,0,5,0,1,1,1
6,2,9,9,0,10,0,0,4,6,2,9,9,0,10,0,0,4,1
7,1,11,11,3,8,0,1,9,7,1,11,11,3,8,0,1,9,1
3,2,8,8,1,6,0,0,5,3,2,8,8,1,6,0,0,5,1
2,2,8,8,1,6,0,0,6,2,2,8,8,1,6,0,0,6,1
3,1,1,1,0,4,0,1,4,5,1,17,17,0,13,0,0,5,1
3,0,1,1,0,3,0,0,1,3,0,1,1,0,3,0,0,1,1
5,1,16,16,1,3,0,0,3,5,1,16,16,1,3,0,0,3,1
4,1,20,20,0,5,0,0,1,4,1,20,20,0,5,0,0,1,1
18,1,15,15,2,8,0,0,9,18,1,15,15,2,8,0,0,9,1
15,1,3,3,1,3,0,0,3,0,0,14,14,0,0,0,0,8,1
1,0,5,5,0,2,0,0,0,6,0,7,7,0,6,0,0,0,1
0,0,2,2,0,0,0,0,1,0,0,2,2,0,0,0,0,1,1
1,0,4,4,0,2,0,0,1,1,0,4,4,0,2,0,0,1,1
2,2,3,3,1,5,0,0,5,0,0,9,9,0,1,0,0,2,1
2,0,4,4,1,3,0,0,5,1,0,6,6,1,2,0,0,7,1
4,1,0,0,0,6,0,1,1,9,11,19,19,2,25,4,0,8,1
0,0,4,4,0,0,0,0,3,0,0,4,4,0,0,0,0,3,1
2,1,3,3,1,7,0,0,3,2,1,9,9,1,3,0,0,3,1
3,2,8,8,1,6,0,0,5,3,2,8,8,1,6,0,0,5,1
7,3,10,10,2,11,0,0,7,13,3,31,31,2,17,0,0,24,1
4,0,0,0,0,6,0,0,0,4,0,0,0,0,6,0,0,0,1
10,3,27,27,2,12,0,0,23,10,3,27,27,2,12,0,0,23,1
4,0,0,0,0,6,0,0,0,4,0,0,0,0,6,0,0,0,1
10,3,27,27,2,12,0,0,23,14,3,22,22,3,18,0,0,15,1
7,3,10,10,2,11,0,0,7,7,3,10,10,2,11,0,0,7,1
7,1,16,16,3,8,0,0,11,7,1,16,16,3,8,0,0,11,1
3,0,9,9,1,3,0,0,15,0,0,4,4,0,0,0,0,3,1
2,1,0,0,0,3,0,0,4,2,1,3,3,1,7,0,0,3,1
4,0,2,2,0,8,0,0,0,2,2,0,0,0,4,0,1,1,1
1,0,17,17,0,1,0,0,17,1,0,17,17,0,1,0,0,17,1
0,2,0,0,0,3,0,0,2,0,2,0,0,0,3,0,0,2,1
4,4,7,7,0,11,1,1,15,1,1,1,1,0,2,0,0,2,1
7,1,2,2,1,16,1,0,3,1,0,4,4,0,2,0,0,1,1
4,1,2,2,2,5,0,0,4,4,1,2,2,2,5,0,0,4,1
1,0,5,5,0,2,0,0,0,1,0,5,5,0,2,0,0,0,1
18,1,14,14,3,9,0,0,9,18,1,15,15,2,8,0,0,9,1
4,1,20,20,0,5,0,0,1,4,1,20,20,0,5,0,0,1,1
3,0,1,1,0,3,0,0,1,3,0,1,1,0,3,0,0,1,1
4,2,3,3,0,7,0,0,3,4,2,3,3,0,7,0,0,3,1
4,2,3,3,0,7,0,0,3,4,2,3,3,0,7,0,0,3,1
3,1,3,3,0,4,0,1,3,5,1,17,17,0,13,0,0,5,1
1,2,0,0,0,3,0,2,3,1,2,0,0,0,3,0,2,3,1
7,1,11,11,3,8,0,1,9,7,1,11,11,3,8,0,1,9,1
0,1,3,3,0,3,0,0,1,0,1,3,3,0,3,0,0,1,1
4,1,6,6,0,5,0,1,1,4,1,6,6,0,5,0,1,1,1
2,5,2,2,1,45,0,0,3,2,5,2,2,1,45,0,0,3,1
1,1,0,0,0,4,0,0,1,7,2,10,10,1,15,0,0,10,1
0,4,4,4,1,7,0,0,4,0,4,4,4,1,7,0,0,4,1
0,1,0,0,0,1,1,0,1,2,1,4,4,0,3,0,0,5,1
0,4,4,4,1,7,0,0,4,1,2,1,1,0,3,0,0,9,1
0,4,4,4,1,7,0,0,4,0,4,4,4,1,7,0,0,4,1
